COMPANY,total_filings,level1_count,level2_count,pct_level1,pct_level1_or_2
TECHPRO SOLUTIONS INC,15,6.0,9.0,40.0,100.0
Amazon,4145,628.0,2071.0,15.2,65.1
Goldman Sachs,158,20.0,50.0,12.7,44.3
Intel,397,42.0,186.0,10.6,57.4
Microsoft,2428,193.0,1056.0,7.9,51.4
Deloitte,495,20.0,179.0,4.0,40.2
Infosys,994,19.0,276.0,1.9,29.7
Meta,1150,8.0,128.0,0.7,11.8
Walmart,794,2.0,260.0,0.3,33.0
JPMorgan,394,1.0,35.0,0.3,9.1
Google,1058,2.0,590.0,0.2,56.0
Accenture,759,0.0,154.0,0.0,20.3
IBM,688,0.0,241.0,0.0,35.0
Capgemini,751,0.0,254.0,0.0,33.8
Qualcomm,112,0.0,39.0,0.0,34.8
Cognizant,2633,0.0,706.0,0.0,26.8
HP INC,29,0.0,5.0,0.0,17.2
Apple,397,0.0,9.0,0.0,2.3
DELL USA LP,45,0.0,1.0,0.0,2.2
DELL PRODUCTS LP,25,0.0,3.0,0.0,12.0
Wipro,596,0.0,549.0,0.0,92.1
Tata Consultancy,1549,0.0,1294.0,0.0,83.5
Oracle,123,0.0,14.0,0.0,11.4
Cisco,257,0.0,73.0,0.0,28.4
